Result for strategy AdxSmas
============================================================== BACKTESTING REPORT ==============================================================
|        Pair |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |     Avg Duration |   Wins |   Draws |   Losses |
|    DGB/USDT |     28 |           0.11 |           3.04 |             3.041 |           0.30 |         19:47:00 |      9 |       0 |       19 |
|    DIA/USDT |     16 |          -1.73 |         -27.70 |           -27.730 |          -2.77 |         15:38:00 |      5 |       0 |       11 |
|    DNT/USDT |     22 |           2.33 |          51.18 |            51.229 |           5.12 |         12:33:00 |     12 |       0 |       10 |
|   DOCK/USDT |     56 |          -0.78 |         -43.51 |           -43.558 |          -4.36 |         23:34:00 |     24 |       0 |       32 |
|   DODO/USDT |      4 |           0.95 |           3.81 |             3.817 |           0.38 |          4:00:00 |      1 |       0 |        3 |
|   DOGE/USDT |     46 |           0.84 |          38.48 |            38.522 |           3.85 |         19:30:00 |     19 |       0 |       27 |
|    DOT/USDT |     26 |          -0.10 |          -2.71 |            -2.717 |          -0.27 |         15:58:00 |     11 |       0 |       15 |
|   DREP/USDT |     52 |           1.02 |          52.82 |            52.873 |           5.29 |         21:12:00 |     22 |       0 |       30 |
|   DUSK/USDT |     51 |           0.59 |          29.98 |            30.009 |           3.00 |   1 day, 1:36:00 |     23 |       0 |       28 |
|   EGLD/USDT |     24 |           0.91 |          21.78 |            21.797 |           2.18 |         17:50:00 |     12 |       0 |       12 |
|    ENJ/USDT |     44 |          -0.27 |         -12.06 |           -12.076 |          -1.21 |         21:20:00 |     20 |       0 |       24 |
|    EOS/USDT |     33 |           1.46 |          48.18 |            48.232 |           4.82 |         23:00:00 |     20 |       0 |       13 |
|    ETC/USDT |     32 |          -1.05 |         -33.62 |           -33.655 |          -3.37 |   1 day, 2:52:00 |     12 |       0 |       20 |
|    ETH/USDT |     21 |           3.56 |          74.85 |            74.929 |           7.49 |   1 day, 3:06:00 |     16 |       0 |        5 |
|    FET/USDT |     46 |           1.48 |          68.09 |            68.155 |           6.82 |         18:04:00 |     25 |       0 |       21 |
|    FIL/USDT |     17 |          -1.10 |         -18.69 |           -18.713 |          -1.87 |   1 day, 5:39:00 |      6 |       0 |       11 |
|    FIO/USDT |     28 |          -0.02 |          -0.47 |            -0.473 |          -0.05 |         20:13:00 |     13 |       0 |       15 |
|   FIRO/USDT |      6 |          -3.52 |         -21.11 |           -21.133 |          -2.11 |         21:00:00 |      1 |       0 |        5 |
|    FIS/USDT |      4 |           3.29 |          13.14 |            13.154 |           1.32 |         14:00:00 |      2 |       0 |        2 |
|    FLM/USDT |     17 |           0.96 |          16.26 |            16.272 |           1.63 |         19:53:00 |      8 |       0 |        9 |
|    FTM/USDT |     41 |          -0.67 |         -27.45 |           -27.475 |          -2.75 |         18:18:00 |     17 |       0 |       24 |
|    FTT/USDT |     19 |           3.70 |          70.21 |            70.284 |           7.03 |   1 day, 1:57:00 |     13 |       0 |        6 |
|    FUN/USDT |     53 |           2.06 |         109.12 |           109.228 |          10.92 |   1 day, 0:51:00 |     33 |       0 |       20 |
|    GRT/USDT |      9 |          -2.78 |         -25.00 |           -25.028 |          -2.50 |         23:00:00 |      3 |       0 |        6 |
|    GTO/USDT |     47 |           0.54 |          25.53 |            25.556 |           2.56 |   1 day, 2:04:00 |     17 |       0 |       30 |
|    GXS/USDT |     34 |           0.80 |          27.19 |            27.218 |           2.72 |   1 day, 3:48:00 |     16 |       0 |       18 |
|   HARD/USDT |     13 |           2.22 |          28.88 |            28.906 |           2.89 |         16:46:00 |      7 |       0 |        6 |
|   HBAR/USDT |     38 |           1.40 |          53.26 |            53.312 |           5.33 |         20:02:00 |     22 |       0 |       16 |
|   HIVE/USDT |     36 |          -1.43 |         -51.58 |           -51.628 |          -5.16 |   1 day, 2:30:00 |     14 |       0 |       22 |
|    HNT/USDT |     22 |           0.12 |           2.62 |             2.623 |           0.26 |   1 day, 1:52:00 |      9 |       0 |       13 |
|    HOT/USDT |     42 |          -0.70 |         -29.40 |           -29.426 |          -2.94 |         22:30:00 |     18 |       0 |       24 |
|    ICX/USDT |     28 |           0.34 |           9.51 |             9.524 |           0.95 |   1 day, 4:24:00 |     17 |       0 |       11 |
|    INJ/USDT |     13 |          -0.33 |          -4.30 |            -4.302 |          -0.43 |         23:46:00 |      6 |       0 |        7 |
|   IOST/USDT |     36 |           1.09 |          39.21 |            39.246 |           3.92 |         23:12:00 |     19 |       0 |       17 |
|   IOTA/USDT |     25 |          -1.83 |         -45.82 |           -45.870 |          -4.59 |         23:53:00 |     10 |       0 |       15 |
|   IOTX/USDT |     45 |           1.29 |          58.09 |            58.146 |           5.81 |         23:39:00 |     22 |       0 |       23 |
|   IRIS/USDT |     22 |          -0.06 |          -1.27 |            -1.274 |          -0.13 |         16:27:00 |     11 |       0 |       11 |
|    JST/USDT |     23 |          -0.78 |         -17.99 |           -18.009 |          -1.80 |   1 day, 7:00:00 |     11 |       0 |       12 |
|    JUV/USDT |     21 |          -0.22 |          -4.59 |            -4.591 |          -0.46 |         22:26:00 |      9 |       0 |       12 |
|   KAVA/USDT |     39 |           0.75 |          29.09 |            29.114 |           2.91 |         23:35:00 |     17 |       0 |       22 |
|    KEY/USDT |     39 |          -1.81 |         -70.78 |           -70.846 |          -7.08 |         21:46:00 |     15 |       0 |       24 |
|    KMD/USDT |     19 |          -0.72 |         -13.76 |           -13.775 |          -1.38 |         18:47:00 |      7 |       0 |       12 |
|    KNC/USDT |     22 |          -0.89 |         -19.56 |           -19.578 |          -1.96 |         10:55:00 |      8 |       0 |       14 |
|    KSM/USDT |     17 |           3.27 |          55.65 |            55.706 |           5.57 |         17:49:00 |     10 |       0 |        7 |
|   LINA/USDT |      0 |           0.00 |           0.00 |             0.000 |           0.00 |             0:00 |      0 |       0 |        0 |
|   LINK/USDT |     36 |           0.87 |          31.38 |            31.416 |           3.14 |         22:02:00 |     20 |       0 |       16 |
|    LIT/USDT |      4 |          -2.51 |         -10.05 |           -10.058 |          -1.01 |         17:30:00 |      1 |       0 |        3 |
|    LRC/USDT |     24 |           2.19 |          52.52 |            52.573 |           5.26 |         19:08:00 |     14 |       0 |       10 |
|    LSK/USDT |     28 |           1.39 |          38.95 |            38.993 |           3.90 |         19:28:00 |     14 |       0 |       14 |
|    LTC/USDT |     20 |           0.71 |          14.21 |            14.219 |           1.42 |   1 day, 7:15:00 |      8 |       0 |       12 |
|    LTO/USDT |     43 |          -0.18 |          -7.58 |            -7.586 |          -0.76 |   1 day, 1:14:00 |     16 |       0 |       27 |
